symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,wait_days
usdaud,-8.39273483397069,50.227395359593,-6.795582767554645,-3.413244223648043,-9.942825749387561,1605,-0.005015697400064632,-0.005229118276617253,128641.67350965682,163.2508547076863,9,-136691.86783676044,-167.30950775613275,10,15421.109832270784,15.24361207216941,12813,0.941106998869038,-1
usdaud,-6.980031339815083,49.78031295768134,-5.71908108830516,-2.8469764640618767,-10.185660809099291,1601,-0.0042111164865615,-0.004359794715687123,128012.97004576265,159.22011199721723,9,-134754.9675407476,-169.07775099215507,8,14542.619208790798,14.110873644044272,12887,0.9499684678195904,-1
usdaud,1.4148728315314707,45.83365451321976,1.2811149794572796,0.5871818136015559,-10.479261629573617,1566,0.0009099166864873958,0.0009034947838642852,136920.23741692954,172.44362395079287,13,-135495.30788589007,-175.51205684700787,11,7528.514196535107,7.319439621486901,7735,1.0105164492650882,-1
usdaud,-6.916184644962193,49.11739767208818,-5.744005254357777,-2.82130590308855,-10.131420610383257,1618,-0.004005867650938202,-0.004274526974636708,134814.91957944614,172.83964048646942,8,-141296.41343866408,-168.61147188384734,10,15059.844515350182,14.362172354817664,11693,0.9541283907957684,-1
usdaud,-1.8154196904427113,47.575734217220386,-1.573057449793849,-0.7483936313981066,-10.678362176337428,1489,-0.0014592379846244798,-0.0012192207457640775,130276.45005705145,174.63331106843358,9,-132449.25541615713,-178.26279329227071,10,8183.730645938413,7.879546494134809,6949,0.9835951863052858,-1
usdaud,8.891749888335676,46.481153164264235,8.063204688165637,3.7478705210544043,-10.146517702363345,1487,0.006273890393253011,0.0059796569524785985,142763.234051344,187.59951912134562,9,-133433.9590365766,-183.79333200630384,9,6397.204113959902,6.301654814519128,3741,1.0699167969093244,-1
usdaud,1.5631544502977632,48.25406613736221,1.3447964029274795,0.6489189456814939,-10.288599111908136,1575,0.001000276582370846,0.000992479016062072,133714.8380251497,168.19476481150903,8,-132139.40240791556,-169.4094902665584,10,10340.837976873314,10.278628170478031,8084,1.0119225271836083,-1
usdaud,-12.061365608628686,48.92468974022971,-9.950825276258964,-4.868410393002054,-10.343869772956943,1611,-0.007248634293342733,-0.0074868811971624365,125094.94035725333,163.73683292834207,10,-136772.49020382867,-161.4787369584754,10,16200.631582462549,15.91197725219737,12929,0.9146206241534933,-1
usdaud,-11.181965448927853,50.48947814692053,-8.955540584079833,-4.521605706137586,-10.17493574242268,1592,-0.006629848952191403,-0.007023847643798903,123609.78472907285,159.0859520322688,9,-134164.50426096158,-164.6190236330817,8,15255.802297199247,15.18843902075605,12887,0.9213300150436298,-1
usdaud,-0.4442784778350339,47.72219224543282,-0.3848743748606017,-0.18367048907438413,-10.432899143969662,1527,-0.0002903032226173108,-0.0002909485774951106,139093.64746355888,186.45261054096366,10,-139536.94048449566,-178.66445644621723,9,12211.591623220826,11.437367497119563,8422,0.9968231135110345,-1
usdaud,4.928983111269543,45.11678100670623,4.56708284647161,2.060520766237442,-10.941253537841904,1479,0.003416144786170617,0.003332645781791442,137167.4336390396,180.7212564414224,9,-132114.95550029335,-183.49299375040744,11,7823.988280534293,7.106319908475227,9940,1.0382430446243842,-1
usdaud,17.592285698316125,45.486780235874505,16.600592421610006,7.551074992670981,-10.6206202739636,1503,0.01287740592670061,0.01170478090373661,158839.61169079717,202.86029590140123,10,-139484.87058296596,-193.72898692078604,7,5891.15920828098,5.302168371113124,2466,1.1387587128764547,-1
usdaud,7.75043790541153,46.874277345255535,6.952765735450901,3.2590586940011512,-10.122123853389851,1470,0.005220716929555886,0.005272406738375191,147563.10637004697,197.27688017385958,8,-139888.65248359993,-193.75159623767303,9,9862.013267126837,9.521669464656078,7225,1.0548611610033685,-1
usdaud,-4.687068876234339,51.383642950743855,-3.7381349769304046,-1.9207899295627904,-9.903585404871963,1614,-0.002837002491340266,-0.002904007977840359,131300.82905260645,165.9934627719424,9,-135879.75107362945,-165.1029782182618,9,11253.306727790332,11.027888004303954,12887,0.966301660219102,-1
usdaud,-11.86630235684459,48.408232482848994,-9.898302208166085,-4.791593144784014,-10.450019393115078,1616,-0.006829255065568878,-0.007343008884186009,121389.41473029,152.30792312457967,8,-132425.4909162493,-161.69168610042652,9,13775.703711411406,13.624706560930326,12955,0.9166619952880602,-1
usdaud,-11.654582573231458,50.29677021506205,-9.360732743587207,-4.708146238488131,-10.361427852270872,1607,-0.006750169524949619,-0.007252384924226172,127783.24227517904,158.1475770732414,15,-138630.76470177292,-173.50533754915259,11,14786.27841795607,14.63942272121147,12929,0.9217524158513486,-1
usdaud,-17.762139342427425,49.772604640406996,-14.237243178003588,-7.086246758681043,-10.158695104400918,1604,-0.010093333651572407,-0.011073652956625577,115618.47434905841,148.4190941579697,9,-131808.1815261804,-159.76749275900653,11,21981.508138310484,21.725753072892484,12857,0.8771722135176693,-1
usdaud,-6.442175883488381,49.672396515840596,-5.2957200207903155,-2.6305110470957214,-9.909633034364346,1584,-0.003938796019590013,-0.004067030229474988,137238.06767835977,171.5475845979497,9,-143477.1205733903,-183.00653134361008,9,12610.451088743634,12.269436531634748,6191,0.9565153463486245,-1
usdaud,0.6540939973921864,45.67177985045864,0.5934215827675471,0.2710261988667014,-10.899447132498905,1498,0.00043807601063515966,0.00043664485807222057,132253.65510168392,175.6356641456626,8,-131597.41723775258,-176.64082850705046,10,9851.690071353136,9.588610153978042,5645,1.0049867077766863,-1
usdaud,-10.10844040104157,50.31989516688506,-8.14097635788235,-4.0965307688472965,-10.061528275174876,1605,-0.006122249668360398,-0.006298093707814062,133955.35882207757,170.42666516803763,8,-143781.56953979598,-175.55747196556285,9,12521.630197517166,12.266177349260401,12905,0.9316587602349222,-1
usdaud,-1.1975248996012922,46.00323749325522,-1.0744935775747426,-0.49430183234148334,-10.635348142842023,1484,-0.0007350595689695069,-0.0008069574795156956,133451.31866077342,179.12928679298446,7,-134542.14706112424,-182.05973891897733,9,11562.41609273343,10.958798822357474,7663,0.991892292310043,-1
usdaud,-7.071449578811675,49.18677252755723,-5.862797336356657,-2.8837207895854333,-9.920535815038432,1552,-0.004295403324480671,-0.0045563463781003065,135796.92864835478,177.28058570281303,11,-142463.39460794893,-181.25113817805206,12,11966.196334688415,11.625674148740487,7331,0.9532057622385043,-1
usdaud,-11.789541578452837,49.78802127495568,-9.563238498892856,-4.761347218403528,-10.055385675999556,1579,-0.0070431284956011,-0.0074664607843273195,121727.65751422448,159.53821430435713,11,-132848.7574087786,-162.80484976566004,10,14316.300473488169,14.226442688670714,12887,0.916287512871993,-1
usdaud,-8.26231286578212,48.89385647113235,-6.874287971928893,-3.3611044944072277,-10.311233270854897,1651,-0.00473606605364709,-0.005004429355410127,129952.16497546778,161.23097391497242,10,-137771.41003003894,-163.0430887929455,8,17763.619370556175,16.860321028326133,12518,0.9432447918413095,-1
usdaud,2.40029129199648,47.54490094812303,2.0994319121013465,0.9981728230818705,-10.719462351563708,1528,0.0015898757572435094,0.0015708712643956021,134516.92241330195,174.470716489367,11,-132087.5922562336,-174.48823283518308,8,7969.546954316887,7.7733805837252214,5521,1.0183918119451807,-1
usdaud,-3.708023261189136,49.811146226778696,-3.05683230391369,-1.5226432088098565,-10.279324299939114,1574,-0.0023126543711984365,-0.002355796226930836,136508.9946909808,173.6755657646066,10,-140149.11267124728,-177.85420389752193,9,10746.830940841988,10.49024919789247,12745,0.9740268210701751,-1
usdaud,7.964267519258643,46.23448701148539,7.246677139233464,3.3504640007031767,-10.624943535750083,1501,0.0055429401341243745,0.0053059743632635865,143902.68578598372,195.51995351356484,14,-135582.73264466325,-177.23233025446177,8,8665.045652040499,7.679243706007077,4942,1.061364400753933,-1
usdaud,1.0336336042921461,43.85261697371464,0.9774250048480575,0.42862644358133034,-10.916368716835336,1491,0.0006968437623297648,0.0006932485608934581,135285.26784425255,183.56210019572939,11,-134246.27379461873,-178.0454559610328,9,12956.594269170382,11.58834178898108,6823,1.0077394628563274,-1
usdaud,0.19773735746614496,48.25406613736221,0.16963511054392477,0.08185583843405295,-10.282427301045225,1540,0.00012852791344251016,0.0001284008814715227,135538.01232351188,177.4057752925548,14,-135340.07933681025,-174.40731873300288,10,9960.782844505316,9.775265928950207,8621,1.0014624861140287,-1
usdaud,-6.821778893909096,47.467817775379636,-5.863627814731199,-2.7833361661230804,-10.527574150606144,1533,-0.004301563983355327,-0.0044499536163790585,130077.9786262964,174.36726357412385,8,-136672.27621278015,-173.66235859311328,10,16172.600207901487,15.340164937698772,6865,0.9517510224515664,-1
usdaud,-7.027176102793916,49.17135589300855,-5.828448998438909,-2.865927400064889,-10.132228781489346,1642,-0.004132736538951349,-0.004279644398778268,129953.40221652809,162.64505909452828,10,-136739.3556134861,-162.20564129713657,9,11873.64127819601,11.779898917326422,12861,0.9503730775495277,-1
usdaud,-10.052944068511701,48.338857627379944,-8.429046873624014,-4.074504967586233,-10.43078956570241,1598,-0.00598507590191573,-0.006290953734988549,132923.62862911043,168.04504251467816,8,-142487.77992037192,-176.564783048788,8,13590.224420514453,13.346458552583094,12704,0.9328773927377749,-1
usdaud,-9.30954398283704,47.62969243814075,-7.934064586616094,-3.778970560448689,-10.734669391562496,1512,-0.0058625324002263305,-0.006157105808754656,123121.63397658688,168.65977257066695,9,-131985.78296572895,-168.77977361346413,9,12093.01029772697,11.796818624233627,6504,0.9328401227013692,-1
usdaud,3.610174845356709,45.39428042858244,3.315570551652608,1.5050793940246827,-10.678041879752996,1478,0.002487234775810907,0.0024426081497677327,139971.3179378459,190.95677754139956,11,-136295.18493919744,-182.9465569653657,12,15953.38130346834,13.434039760479331,6376,1.026971847907088,-1
usdaud,1.3525577141221932,48.022816619132044,1.168711506002581,0.5612481833343158,-10.02327164291121,1534,0.0008877093582542673,0.000881719500731547,138838.56352610106,175.74501712164692,10,-137476.81737053918,-184.78066850878923,8,12530.35070542284,12.102039440331854,12523,1.0099052784433582,-1
usdaud,-18.53958623610874,50.31218684961073,-14.677700368917515,-7.384672034835783,-10.187312170938437,1627,-0.010349576767127553,-0.01139495158949523,125339.44086693342,158.65752008472586,9,-142178.20226704987,-169.86643042658287,10,19983.68620936737,19.78065630230359,12887,0.8815658017078553,-1
usdaud,-11.860441145119932,50.5434363678409,-9.47558049839542,-4.7892839996900305,-9.687076526315158,1580,-0.007078539440678103,-0.007506608319696159,126170.06517699303,165.5775133556339,11,-137354.15749326465,-167.9146179624262,9,15748.476508133972,15.534719562136384,12887,0.9185747812779526,-1
