symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,period,period_dfast,lowerband
usdjpy,-2.9755263707425055,46.547970766599285,-2.62890814339879,-1.2237033940700168,-10.715209689685974,1542,-0.0019012278952181862,-0.0019296539369276949,126136.34915694584,159.26306711735586,11,-129068.04257137218,-172.09072342849623,8,14731.797456409651,13.382111721528714,3312,0.9772856754002048,-1,-1,-1
usdjpy,3.835088849716918,48.273985383299646,3.313569335611218,1.5995919767384588,-10.335581361925687,1565,0.0024981326308600228,0.0024505360062088933,130595.32632223585,163.04035745597486,12,-126685.74875493978,-165.81904287295782,10,9332.680934449541,9.087294199048848,6022,1.030860436992473,-1,-1,-1
usdjpy,-4.370792535193914,47.51205100295444,-3.7724044477977836,-1.7923467252754048,-10.28845646049071,1531,-0.0027933703275582794,-0.0028548612248164035,118758.0805655636,147.7090554298055,11,-123034.7305370555,-169.23621807022764,12,13992.029417870071,13.763497390371178,12632,0.9652403028573802,-1,-1,-1
usdjpy,14.257252434727146,49.6423573316747,12.241662061375669,6.0770496238441645,-9.782711637788463,1539,0.010204851528461885,0.009263971692480277,147625.17881754469,176.37416824079412,14,-131919.91231524196,-187.9201030131652,11,10957.022257377437,10.699783788264863,3990,1.1190515232057818,-1,-1,-1
usdjpy,-9.779693806299978,48.273985383299646,-8.215566884460056,-3.965981556959454,-10.31163553677345,1571,-0.005930424676625571,-0.00622513927835772,123369.09297559784,158.16550381486903,9,-132685.7901425767,-167.7443617478846,10,15536.60604250252,15.188979656935723,12614,0.9297837608912932,-1,-1,-1
usdjpy,-11.748449970118758,47.66754781526979,-9.954680336999541,-4.7451520094965165,-10.357758764796676,1560,-0.007105493987379443,-0.00753105767315305,111697.55963407613,135.88510904388824,13,-122782.13025438822,-166.37145020919812,10,19813.253498810038,19.54007137145138,12632,0.9097216297082781,-1,-1,-1
usdjpy,-4.424233208515369,47.356554190639095,-3.8306447520424647,-1.8140613578518625,-9.963932201043084,1590,-0.002721881451487251,-0.002782536609129163,123235.30264693871,149.37612442053177,10,-127563.09415480343,-166.74914268601756,12,13739.475354392096,13.540555608735154,12748,0.9660733260153384,-1,-1,-1
usdjpy,-0.5850454762385393,48.30508474576271,-0.5005580435101372,-0.24179498711930356,-10.241632680161135,1590,-0.00036687887911215683,-0.00036795312970977316,119190.05512287223,143.0853002675537,9,-119773.39254066047,-158.22112620959112,9,12035.903953765577,11.768788479002414,12634,0.9951296577193453,-1,-1,-1
usdjpy,15.038659911813356,48.258435702068105,13.304607293658044,6.4205953562226314,-10.926728340201054,1560,0.010402788054894295,0.009640166610136766,140820.7899526541,163.17588638777997,16,-124592.44058701921,-178.7552949598554,7,8531.353500225494,8.24943334715983,5175,1.1302514766479794,-1,-1,-1
usdjpy,-3.584616678465079,47.924117555590115,-3.072238329945675,-1.4723431088310635,-10.152865553690985,1515,-0.0023241783091978653,-0.002366083616148567,120360.35679707714,150.45044599634642,8,-123881.48693551192,-173.26082088882785,10,11861.913351816169,11.705525037570961,12491,0.9715766235493465,-1,-1,-1
usdjpy,2.5116443375926427,48.258435702068105,2.1648455500586614,1.0447205978241418,-10.14559044684008,1552,0.0016539757619513187,0.0016183275371086615,135495.54461013107,169.1579832835594,9,-132928.57422758284,-177.00209617521017,9,11635.879031792661,11.008758146422075,8792,1.019310899838235,-1,-1,-1
usdjpy,-1.6528043810552513,48.60830352977764,-1.4022000377157517,-0.6815856504275292,-9.468151596741421,1556,-0.0010534836186871723,-0.0010622136125033748,131001.43690027519,159.1755004863611,12,-132640.6574109524,-180.9558764133048,10,14540.35125890524,14.183371795133864,6313,0.9876416436507961,-1,-1,-1
usdjpy,-7.095438245905133,48.68605193593532,-5.9428938947104974,-2.8933604080762816,-10.708104466499627,1572,-0.004337813366888199,-0.004513637561008354,122494.55319635112,151.9783538416267,12,-129313.59580909903,-168.81670471161755,8,12179.99912157873,11.739299358188868,9928,0.9472673962077846,-1,-1,-1
usdjpy,-8.923386902214114,49.75897994091121,-7.285311934507368,-3.6250969041243315,-9.845107661087415,1557,-0.005482874466832916,-0.005731141234562693,125040.63197340046,152.3028404060907,13,-133577.46751825913,-181.49112434546078,8,16761.006828064594,16.108408284833377,12628,0.9360907516554636,-1,-1,-1
usdjpy,5.44832354239049,48.48390607992536,4.702764945536838,2.280084139353734,-10.080751809321855,1575,0.0035552236800381895,0.0034592530427876127,135595.0871740248,161.42272282622002,8,-129995.60987796469,-176.86477534416963,11,13724.610733510039,12.602880480056179,3500,1.0430743569057195,-1,-1,-1
usdjpy,-2.1399905135481925,48.00186596174779,-1.8366040074323071,-0.8816041938957445,-10.554645286453928,1579,-0.0013408835866564285,-0.0013552821491755495,132440.4957979749,157.66725690235108,12,-134557.7509813053,-182.0808538312656,8,10058.404924494273,9.483657128523024,3823,0.9842650819600534,-1,-1,-1
usdjpy,-2.556364771044394,48.258435702068105,-2.1804084678747904,-1.052231018511804,-10.395812041047238,1559,-0.0016189649950159337,-0.0016397464855961476,125269.0621671337,159.37539715920317,13,-127793.0285943634,-165.3208649344934,11,12176.778373742622,11.923768016233963,8701,0.980249576561479,-1,-1,-1
