symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,period,lowerband
usdeur,-3.7269037321074956,23.305248512019787,-0.0012361188603191105,-0.00028808057230131546,-20.119466250590342,544,-0.006724833570579572,-0.006850925978138779,37954.62100986266,109.0650029019042,11,-41612.93047225792,-212.31086975641796,7,7727.0398664396635,7.598300838104088,10545,0.9120871945119524,10,-80
usdeur,1.3294448918434645,69.46741903068717,0.00014792985144457613,0.00010276304977447674,-12.81286998105999,1789,0.0008209793588317111,0.0007431217953289349,113826.75115254938,94.69779629995789,12,-112358.01907959937,-191.41059468415565,5,7260.983770212188,6.920582079475667,6661,1.0130718936216692,10,-80
usdeur,-0.2587060805559175,69.81525856071733,-2.8643274434090202e-05,-1.9997376106415914e-05,-12.933888947011978,1788,-8.468208654479012e-05,-0.0001446902016531977,111005.61864411256,92.73652351220765,19,-111157.03021485457,-188.08296144645445,6,7401.759043386788,7.200589072316293,6639,0.9986378587980503,10,-80
usdeur,9.766633068135281,69.25871531266908,0.0010900301265893797,0.0007549408621968649,-12.933982006009586,1818,0.005721327527492656,0.005372185406015006,126027.4700041505,101.55315874629372,24,-115626.09655916877,-200.3918484560984,5,5245.633904511415,4.939624075406988,6328,1.0899569712591577,10,-80
usdeur,-2.878790196654921,69.72250135270929,-0.0003191559859934428,-0.00022252353665153083,-12.834796170447678,1777,-0.0015382969686704355,-0.001620028247976883,109992.36689456803,93.05614796494757,17,-112725.9206078954,-189.45532875276538,5,7402.753265411666,7.298790213352981,10552,0.9757504423243014,10,-80
usdeur,1.2170818783138149,70.08580041740744,0.0001342321000126491,9.407764171096e-05,-12.890133998003158,1805,0.0007505721763004253,0.0006742835890935263,116160.54216259108,96.00044806825709,13,-114805.75938436911,-192.9508561081834,6,7402.279926744624,7.096234561670169,6551,1.0118006516875706,10,-80
usdeur,-5.0157061378521535,69.57563577336322,-0.0005572376863523848,-0.0003877016630484514,-12.669565330682651,1783,-0.0027436884560856803,-0.00281307130558169,107367.53713375257,90.14906560348663,17,-112259.53365095338,-189.62759062661044,5,8481.940084445116,8.4622568543938,12850,0.9564224404101712,10,-80
usdeur,5.180777075327896,69.2973641493391,0.0005778904014348972,0.0004004628158664183,-12.888427968033461,1800,0.0030293658492127917,0.0028782094862932757,118767.86189427637,97.91249950064004,22,-113315.00336569345,-193.04089159402633,5,6349.524228250448,6.180851878005788,6575,1.048121240494388,10,-80
usdeur,-5.074813716474308,70.07034088273943,-0.0005598239120759661,-0.00039227052353471695,-12.643663370890945,1781,-0.0027210920986788585,-0.0028494181451287526,108299.3182666182,91.70137025115851,15,-113145.58329436528,-188.57597215727546,6,10079.076854376952,9.925522465454286,12484,0.9571678815324254,10,-80
usdeur,-2.1926090680824815,69.61428461003324,-0.0002434607161922457,-0.0001694834358836952,-12.712309841790162,1793,-0.001209562811327369,-0.0012228717613399227,108970.841887064,90.50734376001994,17,-111139.58800777397,-188.6920000131986,6,8252.982872129622,8.107443578540238,12495,0.9804862861237323,10,-80
usdeur,-2.324685716496728,69.90801576872536,-0.00025704153337589397,-0.00017969263568459338,-12.875871221605234,1792,-0.0012822952398946585,-0.001297257654295049,109252.35652899226,91.04363044082687,11,-111550.2295988834,-188.42944189000573,6,8356.257335264585,8.274496420683432,12712,0.9794005527540919,10,-80
usdeur,1.2234663816409854,68.71763159928886,0.0001376228301646799,9.457114942907972e-05,-12.86368171570186,1782,0.0007517051868287885,0.0006865692377334374,113235.13736822346,93.35130863002757,20,-111895.59872529474,-196.6530733309222,7,7868.937057901712,7.7468327167949935,6551,1.0119713255765967,10,-80
usdeur,1.3022139923802991,69.39785112468114,0.0001450450710372608,0.00010065816246212626,-12.984052777263734,1774,0.0008123477938303137,0.0007340552380948698,111637.01835254914,92.64482850833954,16,-110195.91336629404,-193.6659285875115,6,7074.603561091135,6.954120907541022,6639,1.0130776627030154,10,-80
usdeur,-2.758688918027401,69.92347530339337,-0.000304961969568,-0.00021324000747562248,-12.999820826353883,1785,-0.0014659189296728446,-0.0015454839876904208,106035.21479645924,87.0568265980782,20,-108651.8800859253,-191.62589080410106,7,9065.52302978751,8.968465279203366,12850,0.9759169810278782,10,-80
usdeur,-1.8857574740004859,70.07807065007343,-0.0002080030994503771,-0.00014576455898717778,-12.798499347901066,1802,-0.000978276564538044,-0.0010464802852388933,112951.98017234253,94.04827657980228,16,-114714.83454164014,-190.87326878808676,5,7399.9447282258625,7.2563961168090225,10552,0.9846327253459297,10,-80
usdeur,-1.4202055440160555,70.2558552987555,-0.0001562553377132326,-0.00010977852396039045,-12.706728545661205,1804,-0.0007113605420327465,-0.0007872536275033567,112175.57117939625,93.1690790526547,14,-113458.86559722334,-189.09810932870556,5,8112.2743339800945,8.057405901078782,6551,0.9886893420706078,10,-80
usdeur,0.28869226204977105,70.27904460075752,3.175234208765501e-05,2.231524265756816e-05,-12.923208669279388,1794,0.00023309360913206323,0.00016092099333877985,111812.36325631972,93.17696938026643,14,-111394.1933215369,-187.53231198911936,6,8578.685528802132,8.38236559580559,6637,1.0037539652859262,10,-80
usdeur,-0.14341731044902273,69.70704181804128,-1.5903448935410002e-05,-1.1085823799917091e-05,-12.913660808170894,1780,-8.320472749771179e-06,-8.057152272417007e-05,110852.90927334568,92.53164380078938,16,-110867.7197148402,-190.4943637712031,6,9219.617873666852,9.035624662728976,12687,0.9998664134020919,10,-80
usdeur,0.12546123132450188,69.68385251603927,1.3916942585472006e-05,9.697861746002175e-06,-12.86368504863583,1791,0.00013004568236894793,7.005093876298263e-05,112177.13959345985,94.82429382371923,19,-111944.22777633692,-184.11879568476468,6,6207.8781864519115,6.048329538075384,6551,1.00208060586731,10,-80
