symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,period,lowerband
usdeur,-3.977698893543627,23.30659967146584,-0.001649125725246201,-0.00038435513086228977,-1.0455011482927554,426,-0.009032555630403684,-0.009337321346346543,31383.08375245551,118.42673114134155,11,-35230.95245100746,-218.82579162116437,5,5615.628353470893,5.522067229131482,7957,0.8907815874719016,10,-80
usdeur,-0.7056874798479249,25.616001546043094,-0.00026619661985949675,-6.818893025872314e-05,-0.5485567435901759,477,-0.0012948387767862772,-0.0014794286789264672,37495.64190498259,124.98547301660864,10,-38113.28000150969,-215.32926554525247,6,5338.403156550659,5.131521565992015,6340,0.9837946748088165,10,-70
usdeur,-1.5776187265889494,22.05043965600541,-0.0006913310798052071,-0.0001524415425756578,-0.6523170779271132,408,-0.0037064311489211597,-0.0038667125651689936,32200.892833653324,128.8035713346133,9,-33713.116742413156,-213.37415659755163,6,5064.035599562325,4.893895347594865,7957,0.9551443457359918,11,-80
usdeur,-1.4578730046285198,24.775340612619576,-0.0005685928150427255,-0.00014087080662571728,-0.8212101919889042,460,-0.0030309095022732304,-0.0031692891404967822,35911.34279239824,125.56413563775608,10,-37305.56116344393,-214.39977680140188,6,4783.78653407692,4.657758208279249,7957,0.9626270634306422,11,-70
