symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,period,period_dfast,lowerband
usdjpy,5.729937774501407,47.68309749650132,5.031847229691674,2.399340620408881,-10.531649791038541,1569,0.0037586230612868003,0.0036519679888472956,136392.50083347393,164.72524255250474,10,-130495.22125031495,-176.10691126898104,10,9278.875285413786,8.724769836324482,8449,1.0451915367218456,-1,-1,-1
usdjpy,2.6234425649270467,48.258435702068105,2.2617311007048446,1.0914760489873248,-10.134366888669383,1598,0.0016634278673557067,0.001641703732745336,138932.41660901238,160.24500185583895,13,-136274.258876978,-186.42169477014775,8,13515.873724169083,12.137758378322545,6317,1.019505941576494,-1,-1,-1
usdjpy,-2.189471655295927,47.442077437412536,-1.9010477876522964,-0.9018965635402202,-10.04881046570406,1565,-0.001383818979100218,-0.0013990234219143304,120713.34463707551,144.04933727574644,13,-122879.02133936733,-169.02203760573224,8,9116.695977684998,8.925888325588728,12633,0.9823755375109096,-1,-1,-1
usdjpy,5.883357541121506,48.825999067019126,5.047246438842698,2.464368499139492,-9.961592357759663,1575,0.003847537545798972,0.003735465105473972,140243.43341383582,165.96856025306016,14,-134183.56177920257,-183.81309832767477,11,14606.719537568846,12.528291844990427,4426,1.0451610581376927,-1,-1,-1
usdjpy,-7.308653916060473,46.128129373347846,-6.458092078148618,-2.9789970688583236,-10.101770350225449,1533,-0.004772697660614914,-0.004767549847397569,111246.81704760193,140.28602401967456,12,-118563.36256132476,-160.22076021800643,8,13325.203117703088,13.00143906386591,12634,0.9382899965413981,-1,-1,-1
usdjpy,3.827385401691621,47.729746540195926,3.34456711227922,1.5963534055576218,-10.331852331911328,1566,0.002491426088954647,0.0024440519806459902,130670.48070316408,163.54252904025543,9,-126768.90744786116,-165.2788884587499,10,8694.238313192822,8.565562658687899,6317,1.0307770519905095,-1,-1,-1
usdjpy,6.553309448421498,48.79489970455605,5.633408093556561,2.748815829199267,-10.035806962848959,1572,0.0043084015673434594,0.004168771913754133,145235.76273626392,171.47079425769059,10,-138462.95547239986,-190.98338685848256,8,11853.642242794624,10.396235787098869,2951,1.0489142185413924,-1,-1,-1
usdjpy,-18.291358577137913,49.29248950396517,-14.788243604440629,-7.289493426539698,-10.163974131744387,1556,-0.010742922759364322,-0.011755371836206886,106859.1505390602,130.9548413468875,11,-123575.13835263105,-166.99343020625818,9,21457.754277062966,21.167678795071176,12632,0.8647301711621758,-1,-1,-1
usdjpy,2.0311060135955694,47.994091121132016,1.7585486085066726,0.8439994215760915,-10.004366928447446,1548,0.001325499570796661,0.0013120839881108329,131627.6963103827,162.70419815869306,8,-129575.82297478928,-175.33940862623717,8,11255.733674038624,10.81178380637949,8448,1.0158353100793551,-1,-1,-1
usdjpy,-2.7467574036379347,49.07479396672368,-2.302922550106913,-1.1301544966781867,-10.216630478970044,1560,-0.0017367801625651324,-0.0017607419254089326,124600.68911690713,151.58234685755124,10,-127310.06617050871,-172.5068647296866,9,12321.978556860835,12.07852253205802,10373,0.9787182810040106,-1,-1,-1
usdjpy,6.157428676352196,49.028144923029075,5.263584774865881,2.580637971567738,-9.91573416057379,1525,0.004187405706494634,0.00403765814842767,137296.57071986108,172.70008895580008,11,-130910.77701745674,-179.32983153076265,10,11929.424699234063,11.589417652010123,3673,1.0487797402772485,-1,-1,-1
usdjpy,-1.5303945165588972,48.320634426994246,-1.3064103904476305,-0.6312657888844677,-10.366907620722857,1560,-0.0009735535198410346,-0.000981022125999293,123922.2267035826,145.1079937981061,9,-125440.97019453449,-177.67842803758427,8,14281.548147759284,13.630436638965042,12381,0.9878927635158066,-1,-1,-1
usdjpy,-2.2661808743240597,49.17586689472866,-1.8979778066732962,-0.9333470399011506,-9.850545215934588,1568,-0.001429015223627033,-0.001445268414747487,127696.70019486758,158.23630755250008,9,-129937.3960655146,-170.74559272735164,10,11511.746955358714,11.222905488653955,12634,0.9827555735416057,-1,-1,-1
usdjpy,6.712100652010166,48.05628984605816,5.860524989668137,2.8163508755355893,-10.009367020590785,1525,0.004538667083568401,0.004401377476727978,129681.58545662122,158.9235115889966,12,-122760.11815417928,-173.1454416843149,6,11673.37871714044,11.306395453221755,6681,1.0563820514880005,-1,-1,-1
usdjpy,-0.6501835630648078,49.378012750738606,-0.5441285851329436,-0.2686798821473585,-9.563392423780973,1588,-0.00040810733202893695,-0.00040943549311385887,132754.19043267626,156.36535975580242,9,-133402.26487593827,-180.51727317447668,14,15635.294597370812,15.224201518251826,10365,0.995141953220474,-1,-1,-1
usdjpy,-10.945439111275807,48.63940289224071,-9.103961316006167,-4.428112423645978,-9.539345171822458,1562,-0.0066374491852429504,-0.007007323374696419,113749.69912602051,142.18712390752563,11,-124117.39475336995,-162.88372014877947,9,19276.86079001795,18.912446408268586,12646,0.9164686332004407,-1,-1,-1
usdjpy,7.311778833199869,48.79489970455605,6.295327924783706,3.071798946971119,-10.450650097765564,1566,0.004844013594062096,0.0046690797146870175,132898.6798708032,158.59031010835704,13,-125312.95458250206,-172.13317937156876,9,8586.464323009219,8.436680821902586,9307,1.0605342465475662,-1,-1,-1
