symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,period,lowerband
usdeur,-2.6634895091696977,69.88482646672335,-0.000294600903368537,-0.0002058813300885014,-13.060056537939605,1783,-0.0014038279967678745,-0.0014938247387379124,109812.22109447118,91.81623837330366,12,-112315.24641270848,-191.33772813067884,5,7232.206032163085,7.111002983301093,6639,0.9777142872567827,10,-80
usdeur,1.6530808421805872,70.21720646208549,0.00018197731157294425,0.00012777938458132686,-12.835212457831158,1817,0.000977349752692103,0.0009097858239849132,113290.11277811763,91.88168108525356,15,-111514.26827747595,-190.94908951622594,6,7225.408619950729,6.964950930225446,6551,1.0159248186628722,10,-80
usdeur,4.194765654919531,70.17082785808148,0.00046208112531382966,0.00032424615100865316,-12.621411452286393,1801,0.0024407664653647017,0.0023291314019542094,120997.7292255067,99.42294924035062,15,-116601.90882138468,-199.66080277634364,6,6563.1414343707,6.325665266452704,6551,1.037699386301263,10,-80
usdeur,8.713867440679147,69.7611501893793,0.0009655287299037069,0.0006735639473897314,-12.91162176651318,1801,0.005120376414255526,0.004838349495102247,124239.06263924207,101.25432977933339,15,-115017.2647171679,-200.37850996022283,7,7615.599310646721,7.078691630690733,3890,1.080177510261185,10,-80
usdeur,2.8068367777274434,69.32828321867511,0.00031294902693874255,0.00021696218772617934,-12.806210248828016,1786,0.0016555931882987962,0.0015715771431844589,116838.43218610727,96.8006894665346,18,-113881.54275180562,-196.68660233472474,5,7000.766596406174,6.770217679197021,6640,1.0259646064046208,10,-80
usdeur,3.0808270479084867,70.16309809074747,0.0003394106771250319,0.0002381410463217063,-12.948237765426645,1815,0.0017847758122015813,0.0016974253707484775,116143.5953708246,94.65655694443733,20,-112904.22727167874,-192.01399195863732,5,8353.583051835594,8.179906963237515,6398,1.0286912915257906,10,-80
usdeur,4.2307352886400835,69.43649996135116,0.0004709720813146719,0.0003270265290600369,-12.898010840319275,1799,0.002464356838572537,0.0023517150020233926,117504.46134102826,96.79115431715672,13,-113071.08338843595,-193.28390322809562,5,6921.206817654456,6.643491339447147,6551,1.039208768676623,10,-80
usdeur,-4.818305585064859,69.15822833732705,-0.0005385376788125094,-0.0003724431175956962,-12.679042555771641,1765,-0.0026651939756460294,-0.0027299181785070026,105876.85431540648,90.26159788184695,16,-110580.92168242161,-186.792097436523,6,10025.868235097849,9.960838610687798,12834,0.9574604073157865,10,-80
usdeur,-0.3793882860223177,69.89255623405735,-4.195844175989137e-05,-2.9325827501966284e-05,-12.839300444428885,1801,-0.00015093746136152407,-0.00021065423987913254,113082.0398359656,93.84401646138224,18,-113353.87820387764,-190.19107081187525,6,6865.759656747745,6.792940031374637,6639,0.9976018608959888,10,-80
usdeur,3.0534703675593433,69.77660972404732,0.0003382601053568772,0.00023602643356701944,-12.740435844956808,1812,0.0017111296420653822,0.0016851381719422424,117784.09172811267,96.46526759059188,17,-114683.52481669027,-194.04995738864682,6,8908.721068010622,8.267274540914675,6639,1.0270358529385832,10,-80
usdeur,3.8273995464218205,69.44422972868517,0.00042602462244997486,0.00029584951751492424,-13.017282019010915,1802,0.00222697510057451,0.002123973111221876,115605.6784979419,95.38422318312038,15,-111592.66936670663,-189.1401175706892,5,6468.278923533449,6.3591240487918,6551,1.0359612253565516,10,-80
usdeur,1.3387598622999217,69.35147252067712,0.00014921539846129576,0.00010348307606050441,-12.872007456652895,1800,0.0008091355019091847,0.0007437554790555121,114078.26079441381,93.96891333971485,14,-112621.81689097745,-192.18740083784547,5,7991.173118255756,7.7702033335986025,6639,1.0129321648650569,10,-80
usdeur,0.33546516889475786,70.07034088273943,3.700664229332117e-05,2.5930680404186166e-05,-12.872663239273779,1809,0.00024523275585319895,0.00018544232664165718,112041.35529382256,92.67275044981189,21,-111597.72923848405,-185.99621539747343,5,6831.5463454956625,6.779445220716083,6639,1.003975224750232,10,-80
usdeur,-0.35161385472326234,69.35920228801113,-3.9185758045338216e-05,-2.717892919075673e-05,-12.55471546166523,1784,-0.0001368473044885429,-0.00019709296789420535,111164.62690610494,91.71998919645623,16,-111408.7624973123,-194.77056380649003,6,9034.15854516349,8.906076542663085,12850,0.9978086500044083,10,-80
usdeur,0.5609338298424378,69.64520367936925,6.22568203606846e-05,4.335888934449781e-05,-12.885539016484998,1797,0.00037303865008207873,0.00031215015572756693,113420.75916573766,94.12511134086112,13,-112750.40871153999,-190.45677147219592,5,8478.894958289573,8.167995421936489,6833,1.0059454370219862,10,-80
usdeur,-1.4199215986435574,69.7843394913813,-0.0001572796654203315,-0.00010975657566783279,-12.822976049843126,1798,-0.0007253409104132282,-0.0007897228023601543,111337.53473430622,92.54990418479319,17,-112641.69769122927,-189.3137776323181,5,7479.802297055256,7.371862049801304,12495,0.9884220232502354,10,-80
usdeur,-1.4171823568810347,69.87709669938936,-0.00015676787396635264,-0.00010954483888504507,-12.552028071494664,1794,-0.0007254511718555572,-0.0007899567206694731,111175.54672442445,92.10898651567892,22,-112477.00612673312,-191.61329834196442,6,8922.813855219109,8.830733128542196,12850,0.9884291070048374,10,-80
usdeur,-1.833323038826404,69.57563577336322,-0.0002036797844474239,-0.00014171150497111095,-12.557661606233609,1798,-0.0009517968687322931,-0.0010196457390580667,110803.25508780796,91.19609472247569,18,-112514.58585778873,-192.9924285725364,6,9351.569983657348,9.200911441887751,12818,0.9847901429229471,10,-80
usdeur,0.7526206195537677,69.69931205070728,8.346687795003096e-05,5.817583972137506e-05,-12.8459203125432,1793,0.0004936534422813808,0.0004197549467672993,114220.20948865471,93.69992574951166,16,-113335.08886664397,-197.44789001157486,5,7519.486138322114,7.252669626130404,6640,1.007809766867984,10,-80
usdeur,-0.2987477450849411,69.50606786735719,-3.322372226320884e-05,-2.3092502944328198e-05,-13.022442741716372,1790,-0.00010691877323447158,-0.00016689818161169895,110580.39515300847,91.69186994445147,33,-110771.77975709822,-189.67770506352434,5,7520.654864592507,7.447093224091345,6551,0.9982722620823695,10,-80
usdeur,-3.418606838115648,69.84617763005333,-0.00037833137685693664,-0.00026425000550972245,-12.822486323795957,1791,-0.0018186485436536331,-0.001908769870528,108462.80240551653,90.01062440291828,19,-111720.00194720033,-190.64846748668998,5,8186.486548875502,8.14770162868452,12850,0.9708449741772903,10,-80
usdeur,-2.4753007723281826,70.2249362294195,-0.00027245992342008184,-0.0001913348074724777,-12.815283964009513,1770,-0.001322203986568456,-0.0013984750126147924,110175.54480140758,94.00643754386313,14,-112515.84585763366,-188.15358839069174,6,9202.40228098385,8.908089213426004,6639,0.9792002536319439,10,-80
usdeur,-3.6006826185750427,69.67612274870525,-0.0003994539169947576,-0.00027832400152977857,-12.91944035292401,1789,-0.0019074856686337126,-0.002012678937157654,106117.70773178972,89.17454431242834,13,-109530.19959297517,-182.8550911401923,5,8755.858855395723,8.666333631097888,12850,0.9688442833678145,10,-80
usdeur,-0.7492492783336201,69.7688799567133,-8.30100887845065e-05,-5.791520919602347e-05,-12.878726590685876,1805,-0.0003427819904511695,-0.00041509655309341834,112065.1717667026,91.9320523106666,17,-112683.8932594668,-192.29333320728122,6,7091.851913261926,6.858208783208228,6639,0.9945092286495681,10,-80
usdeur,-4.444486377127546,70.07807065007343,-0.0004902359080800929,-0.00034354786601639654,-12.879923794380879,1808,-0.002347671877873282,-0.00245823361566789,108030.66685050032,89.57766737189081,17,-112275.25760569522,-186.50375017557346,5,8688.648366062029,8.605649018085797,12850,0.9621947805267864,10,-80
usdeur,-3.334612280970385,69.5137976346912,-0.00037080039846135187,-0.00025775743861505276,-12.951469858048942,1780,-0.0017725612139048153,-0.0018733776859384186,107485.44751755288,90.09677076073167,19,-110640.60647830335,-188.4848491964282,6,8001.780932238282,7.916879145699179,12850,0.9714828121321877,10,-80
usdeur,-1.6820809133321863,69.9930432093994,-0.0001857625422202037,-0.00013002085644306597,-12.936270092257612,1787,-0.0008744065065392938,-0.0009412875844052526,110147.57988242316,92.71681808284778,13,-111710.14430960882,-186.49439784575762,6,8732.598921245328,8.54687236319721,6551,0.9860123318536322,10,-80
usdeur,-1.6104869894898184,69.36693205534513,-0.00017946133129792652,-0.00012448681974705053,-12.90525338279514,1784,-0.0008955089608721335,-0.0009027393438844274,110478.12619036161,91.68309227415901,12,-112075.71417655742,-193.56772742065183,5,6894.992125291581,6.785147879121159,10552,0.9857454578992996,10,-80
usdeur,0.3749170220972071,69.7379608873773,4.15558719156605e-05,2.8980217702951922e-05,-12.882277973939301,1793,0.0002695263497137782,0.0002091004027312923,113751.86393813157,94.7142913722994,19,-113268.60319309447,-191.33209998833527,5,7960.744512528705,7.787645164713178,6551,1.00426650220285,10,-80
usdeur,5.051169055900409,69.7611501893793,0.0005596874146146029,0.00039044437790034713,-12.685592592282013,1818,0.002911831159071831,0.002778420822827508,122551.56773159651,100.69972697748275,17,-117257.85868440388,-195.104590157078,6,6358.87190835207,6.057443882754627,6551,1.0451458785499443,10,-80
usdeur,-1.683475871962515,69.79979902604931,-0.00018643131524028616,-0.0001301286833593402,-12.882641360765312,1796,-0.0008707892979457466,-0.0009373473674624248,106503.15852132528,87.94645625212658,12,-108067.09610043596,-184.73007880416404,6,10885.738151695987,10.813169155957837,12850,0.9855280873129304,10,-80
usdeur,-2.975855824593371,70.05488134807142,-0.00032835180425510896,-0.00023002646687516834,-12.912677023203763,1789,-0.0015690876849339863,-0.0016634185716005428,109166.73921541664,91.20028338798383,17,-111973.83708376344,-189.14499507392475,5,8267.37382870901,8.181253305175048,12850,0.9749307700668781,10,-80
usdeur,-5.671386340948904,69.81525856071733,-0.0006279200520055856,-0.00043838400786229024,-12.888688407805217,1778,-0.003044002400699797,-0.0031897560972715994,105001.30593741409,89.05963183834952,17,-110413.54220585832,-184.3297866541875,6,10101.095188308012,10.02203883864793,12850,0.9509821335289335,10,-80
usdeur,1.9442742011693035,69.7379608873773,0.00021550384196122784,0.00015028798501771643,-12.638948298855126,1819,0.00113943975639887,0.001068869819224466,113255.60142703723,91.48271520762296,13,-111182.9605101476,-191.36482015515938,5,9463.078204588965,9.386469394637263,6398,1.0186417136886767,10,-80
usdeur,-7.758544404057602,69.86163716472134,-0.0008584334077708033,-0.0005997156326375914,-12.980444397048357,1771,-0.004215248133797847,-0.004380883345035349,103410.079808927,87.63566085502288,14,-110875.28425388287,-187.60623393211992,5,11358.734652536223,11.3082474796764,12850,0.9326702565392121,10,-80
usdeur,1.927382381178243,70.0085027440674,0.0002128059861882565,0.00014898228468014527,-12.891442161065081,1803,0.0011399891548977577,0.001068986345634078,116017.72416055758,95.96172387142893,20,-113962.32371427678,-191.8557638287488,6,6629.106356250835,6.379295436143778,6639,1.0180357891914704,10,-80
usdeur,1.9481067858581325,70.04715158073742,0.0002149755299744668,0.00015058423534270837,-12.857722045477324,1806,0.0011619193152088594,0.0010786859279391652,115374.31216394575,94.10629050892803,16,-113275.88588067834,-195.30325151841092,6,8239.468155294293,8.11699848925855,6639,1.01852491611037,10,-80
usdeur,3.2775322235978432,69.7611501893793,0.0003631619252458102,0.00025334593610137104,-12.941554374997205,1796,0.0019168402796397746,0.001824906583295013,118087.22868811691,98.07909359478148,17,-114644.58354588396,-193.65639112480397,6,6272.1106315552315,5.928282419323675,6639,1.0300288512178608,10,-80
usdeur,-2.212311892172247,70.05488134807142,-0.0002441034978013982,-0.00017100641575126165,-12.519766363204143,1818,-0.0012035312111005076,-0.0012168932300177376,108922.81624594101,89.94452208583073,21,-111110.8359877218,-183.04915319229292,6,10007.996883086424,9.933574712391561,12850,0.9803077735638441,10,-80
usdeur,-5.3241417432906,69.66066321403726,-0.0005907823776873972,-0.0004115429224486994,-12.48512248955986,1795,-0.0028318743421696406,-0.002966095678713426,107322.79503630595,89.2868511117354,16,-112406.00948050045,-189.5548220581795,6,10335.333527738941,10.21075920487273,12818,0.9547780899999274,10,-80
usdeur,-0.16214856839193864,69.35920228801113,-1.8070718625913938e-05,-1.2533706286644956e-05,-12.785219359599497,1803,-8.985977738534782e-05,-8.993265024511294e-05,109895.68542778016,89.78405672204262,18,-110057.70260640587,-190.08238792125366,5,7872.330155521573,7.795581370772182,12850,0.9985278887820771,10,-80
usdeur,2.327137265614053,69.54471670402721,0.0002586572589384553,0.00017988245796315082,-12.833072848354789,1810,0.001300788054567245,0.0012857111964718524,117448.08276579935,96.11136069214349,15,-115093.65638703232,-195.73751086229984,6,7016.018349560385,6.7160876844414705,6639,1.0204566129244315,10,-80
usdeur,-3.478899761055707,69.55244647136121,-0.0003866298159024577,-0.00026891049574787924,-12.531402868732803,1786,-0.0018563891507274253,-0.001947872206638134,107175.90540960105,90.75013159153349,13,-110491.41643280041,-182.63044038479407,6,8935.948671587335,8.829093820435187,12850,0.969993044435123,10,-80
usdeur,-0.5771689280047788,69.32055345134111,-6.435869750850338e-05,-4.4613805306969026e-05,-12.638133155443883,1778,-0.00026371565833575237,-0.0003246169448845775,109706.41276222924,92.57925127614283,14,-110175.29920275004,-185.7930846589377,6,6368.0527001644805,6.240686292479723,6798,0.9957441781968032,10,-80
usdeur,0.9568067880427904,69.7843394913813,0.00010598218230670688,7.395896590128699e-05,-12.929955404427051,1790,0.0006096785098739168,0.0005345289318674807,112866.47102876914,93.50991800229423,14,-111775.1464960948,-191.72409347529126,6,7567.153827846429,7.487522190358147,6640,1.0097635705868877,10,-80
usdeur,2.26286224249266,68.86449717863492,0.0002539975554523619,0.0001749141394082934,-12.869541178704957,1775,0.0013635453137019642,0.0012748519676014985,115551.35426919429,96.13257426721654,19,-113131.06133737319,-197.43640722054658,6,6754.326235944653,6.474214930827326,6551,1.0213937083521512,10,-80
usdeur,-3.3964362987528496,70.07034088273943,-0.00037467532711662,-0.00026253627891413474,-12.771784506589858,1791,-0.0018066715595973057,-0.0018963910099122556,109712.83429307905,92.19565906981433,15,-112948.58305631793,-187.93441440319123,5,8276.575287259897,8.19272712369005,12850,0.9713520198688506,10,-80
usdeur,2.301075913104942,69.69158228337326,0.0002552216015464586,0.00017786797244669328,-12.817123990796263,1807,0.001288187552033474,0.0012734233055367692,118599.21390405255,97.93494129153802,17,-116271.45899752817,-195.0863405998795,6,8523.680980373581,7.997387113979419,6551,1.0200200025577546,10,-80
usdeur,5.791952066496197,69.40558089201515,0.0006450568027540056,0.000447705421034878,-12.949706183210795,1791,0.003392854912405365,0.0032339207518125054,119135.98611457988,99.61202852389621,14,-113059.38296646198,-190.01576969153274,5,4503.0179162403365,4.407699476530896,3219,1.0537470043500985,10,-80
usdeur,-4.72820021560159,69.57563577336322,-0.0005252962532302655,-0.00036547820787861333,-12.793818344238247,1797,-0.0025016229586361438,-0.002631163169505615,107252.64684635191,88.7853036807549,20,-111748.06330302081,-189.7250650305956,6,10574.409673746472,10.337716617643526,12495,0.9597718624932323,10,-80
usdeur,0.9028966584298647,69.71477158537527,0.00010011054146844468,6.97918353176086e-05,-12.91591582916244,1799,0.0005643106815181683,0.0005018880813951443,112212.2051291248,92.6607804534474,18,-111197.01021307358,-189.11056158685983,5,8530.525494067886,8.423815586664242,12495,1.0091296961501566,10,-80
usdeur,-0.6636507292515109,69.2664450800031,-7.405987713754976e-05,-5.129864412379867e-05,-12.713131853720808,1769,-0.0003136944776076723,-0.00037515586729876255,112797.87188087408,95.1880775366026,17,-113352.79741176197,-194.0972558420582,6,7520.402668147188,7.2231285016127,6798,0.9951044390296598,10,-80
usdeur,0.2899485417326581,68.8181185746309,3.256751367233496e-05,2.2412350175836602e-05,-12.807798073745518,1788,0.0001623989368448395,0.00016216361394443967,112499.7016244829,93.74975135373575,13,-112209.33232540432,-190.83219783232028,4,6420.135597999542,6.266184001713382,6637,1.0025877464294726,10,-80
usdeur,-3.4902610729018306,69.35920228801113,-0.00038897318229519546,-0.00026978869635423895,-12.672148572755457,1774,-0.0018634608432440128,-0.001967452690474538,108608.47179976787,90.96186917903506,17,-111914.25133568261,-192.9556057511769,6,9447.3028621415,9.28303460207729,12494,0.9704614962217888,10,-80
usdeur,2.071463255240949,70.13990878874546,0.0002282857519999959,0.0001601194182304988,-12.714268815622304,1811,0.0012162058200385838,0.0011438228908011866,115544.93569538479,94.55395719753255,15,-113342.38695529485,-192.4318963587349,6,6982.4425969381555,6.888672352642157,6639,1.0194327012096427,10,-80
usdeur,1.5125026459798232,69.02682229264899,0.0001693732956479047,0.00011691300379808218,-12.895360208112779,1805,0.0008443206948888863,0.0008379516044209547,113073.53862752779,91.85502731724434,18,-111549.53977325352,-194.33717730531973,6,7314.285724622998,7.189198510234845,6595,1.0136620810571886,10,-80
usdeur,-4.247191085795668,69.48287856535518,-0.0004724868299123187,-0.0003282974502652727,-12.585428433670105,1795,-0.0022593222021738213,-0.0023661231675741884,108230.9178474545,91.33410788814726,13,-112286.40120035643,-184.0760675415679,6,10767.738515309815,10.689716637896039,12850,0.9638826847280858,10,-80
usdeur,2.4362914214507363,69.18141763932906,0.0002722115883195551,0.0001883198357780025,-12.77543418779184,1789,0.0014399627771031949,0.0013618174519009147,116240.58560726984,96.94794462658035,16,-113664.49219903209,-192.65168169327472,5,7299.1581594177405,6.9431997499577145,6637,1.022664011938987,10,-80
usdeur,-1.6816965948174918,69.40558089201515,-0.00018729207058568737,-0.00012999114955467936,-12.92434202140539,1780,-0.000865782338278615,-0.0009447733678749954,111500.183832668,93.38373855332328,18,-113041.27639480383,-192.9032020389144,6,6474.031809150736,6.35700424866923,6798,0.9863669925598374,10,-80
usdeur,-3.2246681168937337,70.47228878410759,-0.00035369793769922083,-0.00024925903207882787,-12.892465831510819,1807,-0.0016871196218592155,-0.0017845424000518726,109944.17695862084,89.5310887285186,15,-112992.80211532029,-195.15164441333383,6,7886.735255493331,7.794297185290039,12687,0.9730192976930687,10,-80
usdeur,4.671956878817768,69.56790600602922,0.0005191072571977208,0.0003611320487577867,-13.06765437461935,1798,0.0026600736464789136,0.002598418731266834,115811.01019893508,94.53960016239598,16,-111028.19778256601,-193.76648827672952,5,7140.268800054837,6.8435156225697416,6645,1.0430774570054318,10,-80
