symbol,period,period_dfast,lowerband
usdsek,4,2,20
usdnzd,2,4,20
usdmxn,2,2,20
usdjpy,19,14,20
usdhkd,17,10,20
usdgbp,11,12,20
usdeur,19,2,20
usdcad,19,2,20
usdchf,2,2,20
usdaud,10,9,20
