symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,period,lowerband,upperband
usdsek,1.3502283734870195,15.356810905711042,4.855740688107117,0.7456869155442821,-0.6981082566692027,269,0.005053476292633817,0.0050194363326655,30633.363910143755,190.2693410567935,8,-29273.978787425247,-271.0553591428264,4,4179.724025745032,4.025775687884008,3611,1.0464366368709141,2,-95,70
usdsek,1.3502283734870195,15.356810905711042,4.855740688107117,0.7456869155442821,-0.6981082566692027,269,0.005053476292633817,0.0050194363326655,30633.363910143755,190.2693410567935,8,-29273.978787425247,-271.0553591428264,4,4179.724025745032,4.025775687884008,3611,1.0464366368709141,2,-95,75
usdsek,1.3502283734870195,15.356810905711042,4.855740688107117,0.7456869155442821,-0.6981082566692027,269,0.005053476292633817,0.0050194363326655,30633.363910143755,190.2693410567935,8,-29273.978787425247,-271.0553591428264,4,4179.724025745032,4.025775687884008,3611,1.0464366368709141,2,-95,80
usdsek,1.3502283734870195,15.356810905711042,4.855740688107117,0.7456869155442821,-0.6981082566692027,269,0.005053476292633817,0.0050194363326655,30633.363910143755,190.2693410567935,8,-29273.978787425247,-271.0553591428264,4,4179.724025745032,4.025775687884008,3611,1.0464366368709141,2,-95,85
usdsek,1.3502283734870195,15.356810905711042,4.855740688107117,0.7456869155442821,-0.6981082566692027,269,0.005053476292633817,0.0050194363326655,30633.363910143755,190.2693410567935,8,-29273.978787425247,-271.0553591428264,4,4179.724025745032,4.025775687884008,3611,1.0464366368709141,2,-95,90
usdsek,1.3502283734870195,15.356810905711042,4.855740688107117,0.7456869155442821,-0.6981082566692027,269,0.005053476292633817,0.0050194363326655,30633.363910143755,190.2693410567935,8,-29273.978787425247,-271.0553591428264,4,4179.724025745032,4.025775687884008,3611,1.0464366368709141,2,-95,95
usdsek,1.3502283734870195,15.356810905711042,4.855740688107117,0.7456869155442821,-0.6981082566692027,269,0.005053476292633817,0.0050194363326655,30633.363910143755,190.2693410567935,8,-29273.978787425247,-271.0553591428264,4,4179.724025745032,4.025775687884008,3611,1.0464366368709141,2,-95,100
usdsek,6.211175055581782,29.236806774759888,11.891072891111255,3.476570004620052,0.24408709568776446,497,0.012893611620755389,0.012497334115858716,65795.51951178828,212.93048385692,10,-59387.39453627288,-315.8903964695366,7,8091.25902420182,7.990546695188148,4780,1.1079037904517166,2,-90,70
usdsek,6.211175055581782,29.236806774759888,11.891072891111255,3.476570004620052,0.24408709568776446,497,0.012893611620755389,0.012497334115858716,65795.51951178828,212.93048385692,10,-59387.39453627288,-315.8903964695366,7,8091.25902420182,7.990546695188148,4780,1.1079037904517166,2,-90,75
usdsek,6.211175055581782,29.236806774759888,11.891072891111255,3.476570004620052,0.24408709568776446,497,0.012893611620755389,0.012497334115858716,65795.51951178828,212.93048385692,10,-59387.39453627288,-315.8903964695366,7,8091.25902420182,7.990546695188148,4780,1.1079037904517166,2,-90,80
usdsek,6.211175055581782,29.236806774759888,11.891072891111255,3.476570004620052,0.24408709568776446,497,0.012893611620755389,0.012497334115858716,65795.51951178828,212.93048385692,10,-59387.39453627288,-315.8903964695366,7,8091.25902420182,7.990546695188148,4780,1.1079037904517166,2,-90,85
usdsek,6.211175055581782,29.236806774759888,11.891072891111255,3.476570004620052,0.24408709568776446,497,0.012893611620755389,0.012497334115858716,65795.51951178828,212.93048385692,10,-59387.39453627288,-315.8903964695366,7,8091.25902420182,7.990546695188148,4780,1.1079037904517166,2,-90,90
usdsek,6.211175055581782,29.236806774759888,11.891072891111255,3.476570004620052,0.24408709568776446,497,0.012893611620755389,0.012497334115858716,65795.51951178828,212.93048385692,10,-59387.39453627288,-315.8903964695366,7,8091.25902420182,7.990546695188148,4780,1.1079037904517166,2,-90,95
usdsek,6.211175055581782,29.236806774759888,11.891072891111255,3.476570004620052,0.24408709568776446,497,0.012893611620755389,0.012497334115858716,65795.51951178828,212.93048385692,10,-59387.39453627288,-315.8903964695366,7,8091.25902420182,7.990546695188148,4780,1.1079037904517166,2,-90,100
usdsek,11.548497427032887,39.130434782608695,16.765514692626105,6.560418792766737,0.47503108298123375,684,0.017897317145818055,0.016883768168176733,94722.11665096981,217.75199230108,11,-82480.35172323039,-331.24639246277263,9,6270.744680671705,6.180114847385667,3683,1.1484203773623283,2,-85,70
usdsek,11.548497427032887,39.130434782608695,16.765514692626105,6.560418792766737,0.47503108298123375,684,0.017897317145818055,0.016883768168176733,94722.11665096981,217.75199230108,11,-82480.35172323039,-331.24639246277263,9,6270.744680671705,6.180114847385667,3683,1.1484203773623283,2,-85,75
usdsek,11.548497427032887,39.130434782608695,16.765514692626105,6.560418792766737,0.47503108298123375,684,0.017897317145818055,0.016883768168176733,94722.11665096981,217.75199230108,11,-82480.35172323039,-331.24639246277263,9,6270.744680671705,6.180114847385667,3683,1.1484203773623283,2,-85,80
